uen,Company Name,primary_ssic_code,secondary_ssic_code,primary_ssic_description,secondary_ssic_description,finaladdress,entity_status_description,uen_issue_date,registration_incorporation_date,entity_type_description,ACRA Update Date
199403469Z,GOLD LINK INFORMATION PTE LTD,46522,na,WHOLESALE OF ELECTRONIC COMPONENTS,na,688C CHOA CHU KANG CRESCENT  #10-118 Singapore 683688 ,Struck Off,2008-09-10,1994-05-17,Local Company,2022-08-25
52842229D,GOLDIE JEWELLERY,47731,na,RETAIL SALE OF JEWELLERY MADE FROM PRECIOUS METALS AND STONES,na,14 SCOTTS ROAD FAR EAST PLAZA #02-46 Singapore 228213 ,Live,2008-09-11,1997-04-01,Business,2022-08-25
201608990C,GOLEARN PTE. LTD.,62011,62021,DEVELOPMENT OF SOFTWARE AND APPLICATIONS (EXCEPT GAMES AND CYBERSECURITY),INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY),138 CECIL STREET CECIL COURT #06-01 Singapore 069538 ,Live Company,2016-04-06,2016-04-06,Local Company,2022-08-25
198800787G,GOOD HARVEST TRADING PTE LTD,20231,46551,"MANUFACTURE OF SOAP, DETERGENTS, WASHING AND OTHER CLEANING PREPARATIONS",WHOLESALE OF MARINE EQUIPMENT AND ACCESSORIES (INCLUDING MARINE NAVIGATIONAL EQUIPMENT AND RADAR),51 UBI AVENUE 1 PAYA UBI INDUSTRIAL PARK #03-17 Singapore 408933 ,Live Company,2008-09-10,1988-03-15,Local Company,2022-08-25
201730045H,GORGEOUS ENGINEERING PTE. LTD.,41009,49232,BUILDING CONSTRUCTION N.E.C.,"MOVING SERVICES (EG DELIVERY SERVICES, BAGGAGE TRANSFER SERVICES, FURNITURE MOVING SERVICES)",21 BUKIT BATOK CRESCENT WCEGA TOWER #17-71 Singapore 658065 ,Live Company,2017-10-20,2017-10-20,Local Company,2022-08-25
201723395G,GSPL SOLUTIONS PTE. LTD.,63119,63112,"DATA ANALYTICS, PROCESSING AND RELATED ACTIVITIES N.E.C.",HOSTING SERVICES BY NON-DATA CENTRES,60 PAYA LEBAR ROAD PAYA LEBAR SQUARE #11-53 Singapore 409051 ,Live Company,2017-08-17,2017-08-17,Local Company,2022-08-25
202024361C,GURSSNN INTERNATIONAL PTE. LTD.,46900,52292,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,FREIGHT TRANSPORT ARRANGEMENT,8 UBI ROAD 2 ZERVEX #08-16 Singapore 408538 ,Live Company,2020-08-16,2020-08-16,Local Company,2022-08-25
201730199K,HAEMASU PTE. LTD.,70201,na,MANAGEMENT CONSULTANCY SERVICES (GENERAL),na,27 TERRASSE LANE TERRASSE #04-43 Singapore 544777 ,Live Company,2017-10-22,2017-10-22,Local Company,2022-08-25
T20LL0834F,HANDYHUB LLP,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,7 SOON LEE STREET ISPACE #04-01 Singapore 627608 ,Live,2020-06-24,2020-06-24,LLP,2022-08-25
T20LL0834F,SUNDAY MORNING LLP,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,7 SOON LEE STREET ISPACE #04-01 Singapore 627608 ,Live,2020-06-24,2020-06-24,LLP,2022-08-25
53376862D,HAPPY TOURISTS,85409,na,TRAINING COURSES N.E.C.,na,502D YISHUN STREET 51 PALM BREEZE @ YISHUN #10-462 Singapore 764502 ,Live,2018-01-29,2018-01-29,Business,2022-08-25
199401447Z,HEATEC JIETONG PTE. LTD.,30110,82999,"BUILDING AND REPAIRING OF SHIPS, TANKERS AND OTHER OCEAN-GOING VESSELS (INCLUDING CONVERSION OF SHIPS INTO OFF-SHORE STRUCTURES)",OTHER BUSINESS SUPPORT SERVICE ACTIVITIES (E.G. ADMINISTRATION OF LOYALTY PROGRAMMES),10 TUAS SOUTH STREET 15   Singapore 637076 ,Live Company,2008-09-10,1994-03-02,Local Company,2022-08-25
09773500X,HENG FURNITURE,31001,46431,MANUFACTURE OF FURNITURE AND FIXTURES OF WOOD (INCLUDING UPHOLSTERY),"WHOLESALE OF FURNITURE (INCLUDING MATTRESSES, CUSHIONS)",447 ANG MO KIO AVENUE 10  #01-1673 Singapore 560447 ,Live,2008-09-09,1975-06-26,Business,2022-08-25
198901971W,HOCK TYRE PTE LTD,46563,47314,WHOLESALE OF PARTS AND ACCESSORIES FOR VEHICLES,RETAIL SALE OF SPARE PARTS AND ACCESSORIES FOR MOTOR VEHICLES,219 KAKI BUKIT AVENUE 1 SHUN LI INDUSTRIAL PARK  Singapore 416044 ,Live Company,2008-09-10,1989-05-17,Local Company,2022-08-25
202009286M,HPJG FOUNDATION PTE. LTD.,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,60 PAYA LEBAR ROAD PAYA LEBAR SQUARE #08-10 Singapore 409051 ,Live Company,2020-03-20,2020-03-20,Local Company,2022-08-25
202009286M,THE MEGG BOXX PTE. LTD.,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,779 ANG MO KIO AVENUE 2 HORIZON GREEN  Singapore 567801 ,Live Company,2020-03-20,2020-03-20,Local Company,2022-08-25
201312070N,HUISE GLOW PTE. LTD.,68105,na,COLLECTIVE PORTFOLIO INVESTMENT FUNDS WITH RENTAL INCOME,na,16 HIGHGATE CRESCENT   Singapore 598797 ,Live Company,2013-05-05,2013-05-04,Local Company,2022-08-25
200309863C,HVT SOLUTION PRIVATE LIMITED,46544,43210,WHOLESALE OF ELECTRICAL AND WIRING ACCESSORIES,ELECTRICAL WORKS,31 BUKIT BATOK CRESCENT THE SPLENDOUR #01-42 Singapore 658070 ,Live Company,2008-09-12,2003-10-02,Local Company,2022-08-25
53343702D,HYPERMAGIX STUDIOS,62090,na,OTHER INFORMATION TECHNOLOGY AND COMPUTER SERVICE ACTIVITIES (EG DISASTER RECOVERY SERVICES),na,39 MANDALAY ROAD MANDALAY TOWERS #06-41 Singapore 308216 ,Live,2016-08-11,2016-08-11,Business,2022-08-25
200413604K,I-VALUE PRIVATE LIMITED,70201,64202,MANAGEMENT CONSULTANCY SERVICES (GENERAL),OTHER HOLDING COMPANIES,90 MIMOSA TERRACE   Singapore 805774 ,Live Company,2008-09-12,2004-10-21,Local Company,2022-08-25
201824530E,IDEAS SGX PTE. LTD.,47411,46900,RETAIL SALE OF HANDPHONES,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,704 ANG MO KIO AVENUE 8  #01-2559 Singapore 560704 ,Live Company,2018-07-18,2018-07-18,Local Company,2022-08-25
52800146M,INNOVATIVE TECHNICAL SERVICES,28241,28251,MANUFACTURE AND REPAIR OF OIL RIGS,MANUFACTURE AND REPAIR OF MACHINERY FOR FOOD PRODUCTS PROCESSING,25 MOONBEAM VIEW HOLLAND GARDENS  Singapore 277279 ,Live,2008-09-10,1995-05-24,Business,2022-08-25
53177882K,INVISIBLE GRILLE CONCEPT,41009,43307,BUILDING CONSTRUCTION N.E.C.,"INSTALLATION OF DOORS, GATES, GRILLES AND WINDOWS",6001 BEACH ROAD GOLDEN MILE TOWER #19-06 Singapore 199589 ,Ceased Registration,2010-10-16,2010-10-15,Business,2022-08-25
53410520C,INZIMAGE,74192,na,ART AND GRAPHIC DESIGN SERVICES,na,426 BUKIT BATOK WEST AVENUE 2  #03-119 Singapore 650426 ,Cancelled (Non-Renewal),2020-03-10,2020-03-10,Business,2022-08-25
201722923G,JAJ (FOOD) PTE. LTD.,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,10 ANSON ROAD INTERNATIONAL PLAZA #10-11 Singapore 079903 ,Live Company,2017-08-12,2017-08-12,Local Company,2022-08-25
201921016G,JARS ENTERPRISE PTE. LTD.,56121,56112,FAST FOOD OUTLETS,CAFES AND COFFEE HOUSES,114 LAVENDER STREET CT HUB 2 #09-57 Singapore 338729 ,Live Company,2019-07-01,2019-07-01,Local Company,2022-08-25
198800654C,JECEE TRADING (SINGAPORE) PTE LTD,46900,46100,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,WHOLESALE ON A FEE OR CONTRACT BASIS (EG COMMISSION AGENTS),189A THOMSON ROAD GOLDHILL SHOPPING CENTRE  Singapore 307631 ,Live Company,2008-09-10,1988-03-02,Local Company,2022-08-25
201501985E,JEEVITH TRADING PRIVATE LIMITED,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,288C BUKIT BATOK STREET 25 NATURE VIEW #09-24 Singapore 652288 ,Struck Off,2015-01-27,2015-01-20,Local Company,2022-08-25
201820653M,JESS TECHNOLOGY (ASIA) PTE. LTD.,27109,74111,"MANUFACTURE AND REPAIR OF ELECTRIC MOTORS, GENERATORS, TRANSFORMERS AND ELECTRICITY DISTRIBUTION AND CONTROL APPARATUS N.E.C. (EG BUSBAR TRUNKING)",ELECTRONICS-RELATED INDUSTRIAL DESIGN SERVICES,8 EU TONG SEN STREET THE CENTRAL #16-82 Singapore 059818 ,Live Company,2018-06-18,2018-06-18,Local Company,2022-08-25
202032145R,JGL AIDA PTE. LTD.,68101,na,REAL ESTATE DEVELOPERS,na,33 UBI AVENUE 3 VERTEX #06-50 Singapore 408868 ,Live Company,2020-10-12,2020-10-12,Local Company,2022-08-25
201428626D,JIA LI CONSTRUCTION PTE. LTD.,41001,43299,GENERAL CONTRACTORS (BUILDING CONSTRUCTION INCLUDING MAJOR UPGRADING WORKS),OTHER CONSTRUCTION INSTALLATION N.E.C.,113 EUNOS AVENUE 3 GORDON INDUSTRIAL BUILDING #04-10 Singapore 409838 ,Live Company,2014-09-27,2014-09-26,Local Company,2022-08-25
200707026H,JIE ELECTRICAL ENGINEERING PTE. LTD.,43210,46900,ELECTRICAL WORKS,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,50 SERANGOON NORTH AVENUE 4 FIRST CENTRE #04-17 Singapore 555856 ,Live Company,2008-09-13,2007-04-25,Local Company,2022-08-25
201919952W,JJ AIRCONDITIONING & ENGINEERING PTE. LTD.,43299,43220,OTHER CONSTRUCTION INSTALLATION N.E.C.,"PLUMBING, HEATING (NON-ELECTRIC) AND AIR-CONDITIONING",747 PASIR RIS STREET 71  #10-38 Singapore 510747 ,Live Company,2019-06-21,2019-06-21,Local Company,2022-08-25
53173723C,JOY Q TRADING,47711,na,RETAIL SALE OF CLOTHING FOR ADULTS,na,178 BUKIT BATOK WEST AVENUE 8  #11-233 Singapore 650178 ,Live,2010-08-17,2010-08-15,Business,2022-08-25
201725753E,JQ DINING PTE. LTD.,56111,10799,RESTAURANTS,MANUFACTURE OF OTHER FOOD PRODUCTS N.E.C. (EXCEPT FOOD CHEMICALS AND ADDITIVES),2 BAYFRONT AVENUE MARINA BAY SANDS #01-83 Singapore 018972 ,Live Company,2017-09-11,2017-09-11,Local Company,2022-08-25
202014627C,JR LOGISTICS PTE. LTD.,52292,na,FREIGHT TRANSPORT ARRANGEMENT,na,18 HOUGANG AVENUE 3 HOUGANG VIEW #04-163 Singapore 530018 ,Live Company,2020-05-27,2020-05-27,Local Company,2022-08-25
53428361J,JT MANAGEMENT CONSULTING,70201,na,MANAGEMENT CONSULTANCY SERVICES (GENERAL),na,10 SIMEI RISE CHANGI RISE CONDOMINIUM #07-30 Singapore 528804 ,Live,2021-02-01,2021-02-01,Business,2022-08-25
201712890K,JUSTIN WEE & ASSOCIATES PTE. LTD.,30110,71121,"BUILDING AND REPAIRING OF SHIPS, TANKERS AND OTHER OCEAN-GOING VESSELS (INCLUDING CONVERSION OF SHIPS INTO OFF-SHORE STRUCTURES)",GENERAL BUILDING ENGINEERING DESIGN AND CONSULTANCY SERVICES,5 TAMPINES CENTRAL 6 TELEPARK #03-38 Singapore 529482 ,Live Company,2017-05-10,2017-05-10,Local Company,2022-08-25
201629877K,K SAGE CONSTRUCTION PTE. LTD.,74191,43301,INTERIOR DESIGN SERVICES,RENOVATION CONTRACTORS,1 TAMPINES NORTH DRIVE 1 T-SPACE #04-38 Singapore 528559 ,Live Company,2016-10-31,2016-10-31,Local Company,2022-08-25
201822581G,KHETAL & AGRAWAL ADVISORS PTE. LTD.,70201,na,MANAGEMENT CONSULTANCY SERVICES (GENERAL),na,881 NORTH BRIDGE ROAD SOUTHBANK #28-10 Singapore 198784 ,Live Company,2018-07-03,2018-07-03,Local Company,2022-08-25
34043500C,KIAN CHOON MEDICAL TRADING,47723,47101,CHINESE MEDICINE SHOPS,SUPERMARKETS AND HYPERMARKETS,201B TAMPINES STREET 21  #01-1081 Singapore 522201 ,Cancelled (Non-Renewal),2008-09-09,1985-02-01,Business,2022-08-25
201942030Z,KINGDOM ANTIQUE PTE. LTD.,82303,74909,EVENT/CONCERT ORGANISERS,"OTHER PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES N.E.C.",7 TEMASEK BOULEVARD SUNTEC TOWER ONE #12-07 Singapore 038987 ,Live Company,2019-12-12,2019-12-12,Local Company,2022-08-25
202027818R,KINGHAUS ENGINEERING PTE. LTD.,28161,64202,MANUFACTURE AND REPAIR OF LIFTING AND HOISTING MACHINERY EXCEPT ELECTRICAL,OTHER HOLDING COMPANIES,33 SENOKO WAY POH WAH GROUP BUILDING  Singapore 758050 ,Live Company,2020-09-15,2020-09-15,Local Company,2022-08-25
53420776J,KINGSMAN AUTO,46561,47311,WHOLESALE OF MOTOR VEHICLES EXCEPT MOTORCYCLES AND SCOOTERS,RETAIL SALE OF MOTOR VEHICLES EXCEPT MOTORCYCLES AND SCOOTERS,22 SIN MING LANE MIDVIEW CITY #06-76 Singapore 573969 ,Live,2020-09-18,2020-09-18,Business,2022-08-25
201819786G,KODA'S CAFE PTE. LTD.,56112,na,CAFES AND COFFEE HOUSES,na,8 UBI ROAD 2 ZERVEX #03-19 Singapore 408538 ,Struck Off,2018-06-11,2018-06-11,Local Company,2022-08-25
53172593J,KOO NATURE,47219,47721,RETAIL SALE OF FOOD N.E.C.,RETAIL SALE OF COSMETICS AND TOILETRIES (INCLUDING SKIN CARE PRODUCTS),166 YIO CHU KANG ROAD   Singapore 545619 ,Live,2010-07-28,2010-07-27,Business,2022-08-25
201221011G,KPS ASIA GROUP PTE. LTD.,53200,81211,COURIER ACTIVITIES OTHER THAN NATIONAL POST ACTIVITIES,"GENERAL CLEANING SERVICES (INCLUDING CLEANING OF PUBLIC AREAS, OFFICES AND FACTORIES) EXCEPT HOUSEHOLD CLEANING",9008 TAMPINES STREET 93 TAMPINES INDUSTRIAL PARK A #01-67 Singapore 528843 ,Live Company,2012-08-25,2012-08-24,Local Company,2022-08-25
201718528D,KUANZA PTE. LTD.,70201,na,MANAGEMENT CONSULTANCY SERVICES,na,802 THOMSON ROAD THOMSON 800 #12-08 Singapore 298187 ,Live Company,2017-07-03,2017-07-03,Local Company,2022-08-25
197401340W,L-PLUS PTE. LTD.,46429,56111,WHOLESALE OF PERSONAL EFFECTS N.E.C.,RESTAURANTS,3 BIDEFORD ROAD RICHMOND PARK #09-02 Singapore 229920 ,Live Company,2008-09-09,1974-07-24,Local Company,2022-08-25
53407725X,L.S. FASHION,47711,na,RETAIL SALE OF CLOTHING FOR ADULTS,na,163A PUNGGOL CENTRAL  #15-179 Singapore 821163 ,Live,2020-01-01,2020-01-01,Business,2022-08-25
T05LL1005C,LANDVISTA PROPERTY NETWORK LLP,68201,na,REAL ESTATE AGENCIES AND VALUATION SERVICES,na,151 CHIN SWEE ROAD MANHATTAN HOUSE #10-12 Singapore 169876 ,Live,2008-09-13,2005-11-07,LLP,2022-08-25
201732038C,LEO KIDZ JV1 PTE. LTD.,88911,88912,CHILD CARE SERVICES FOR PRE-SCHOOL CHILDREN (INCLUDING INFANT CARE SERVICES),"CHILD/STUDENT CARE SERVICES FOR SCHOOL-GOING CHILDREN (EG BEFORE AND AFTER-SCHOOL CARE CENTRES, STUDENT CARE CENTRES)",50 MACPHERSON ROAD AMAZANA #06-00 Singapore 348471 ,Live Company,2017-11-07,2017-11-07,Local Company,2022-08-25
201110529C,LINKAZIA HOLDINGS PTE. LTD.,62011,62021,DEVELOPMENT OF SOFTWARE AND APPLICATIONS (EXCEPT GAMES AND CYBERSECURITY),INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY),10 ANSON ROAD INTERNATIONAL PLAZA #23-14B Singapore 079903 ,Struck Off,2011-05-04,2011-05-03,Local Company,2022-08-25
53047769J,LOO KENG HONG INSURANCE AGENCY,65124,66221,"GENERAL INSURANCE (EXCEPT MARINE AND IMPORT, EXPORT & CREDIT INSURANCE)-",INSURANCE AGENCIES AND AGENTS (INCLUDING FINANCIAL PLANNING SERVICES),2 GREEN LANE   Singapore 438892 ,Live,2008-09-13,2005-07-03,Business,2022-08-25
201220549H,LYL ENGINEERING (HK) PTE. LTD.,41001,71129,GENERAL CONTRACTORS (BUILDING CONSTRUCTION INCLUDING MAJOR UPGRADING WORKS),ENGINEERING DESIGN AND CONSULTANCY ACTIVITIES N.E.C.,2 KALLANG AVENUE CT HUB #09-05 Singapore 339407 ,Live Company,2012-08-18,2012-08-17,Local Company,2022-08-25
201615068H,MAISHA TRADING PTE. LTD.,47711,na,RETAIL SALE OF CLOTHING FOR ADULTS,na,8 BURN ROAD TRIVEX #15-13 Singapore 369977 ,Live Company,2016-06-02,2016-06-02,Local Company,2022-08-25
201925405G,MARK FOODS SINGAPORE PTE. LTD.,70101,na,ACTIVITIES OF HEAD AND REGIONAL HEAD OFFICES; CENTRALISED ADMINISTRATIVE OFFICES AND SUBSIDIARY MANAGEMENT OFFICES,na,56A BOAT QUAY   Singapore 049845 ,Live Company,2019-08-02,2019-08-02,Local Company,2022-08-25
201314143R,MEN U TASK PRIVATE LIMITED,47711,81211,RETAIL SALE OF CLOTHING FOR ADULTS,"GENERAL CLEANING SERVICES (INCLUDING CLEANING OF PUBLIC AREAS, OFFICES AND FACTORIES) EXCEPT HOUSEHOLD CLEANING AND ONLINE MARKETPLACES",183B BOON LAY AVENUE BOON LAY GROVE #14-728 Singapore 642183 ,Struck Off,2013-05-27,2013-05-26,Local Company,2022-08-25
200003405Z,METAKAOS PTE. LTD.,82999,na,"OTHER BUSINESS SUPPORT SERVICE ACTIVITIES (EG JUNKETS, ADMINISTRATION OF LOYALTY PROGRAMMES)",na,13 MARTABAN ROAD   Singapore 328640 ,Live Company,2008-09-12,2000-04-19,Local Company,2022-08-25
199706886K,METIER DESIGN CONSULTANTS PTE LTD,74191,43301,INTERIOR DESIGN SERVICES,RENOVATION CONTRACTORS,745 LORONG 5 TOA PAYOH THE ACTUARY #03-07 Singapore 319455 ,Live Company,2008-09-11,1997-10-03,Local Company,2022-08-25
200303077D,METRACO REFRIGERATION ENGINEERING PTE. LTD.,43210,28191,ELECTRICAL WORKS,"MANUFACTURE AND REPAIR OF REFRIGERATING, AIR-CONDITIONING AND VENTILATING MACHINERY AND EQUIPMENT EXCEPT HOUSEHOLD REFRIGERATORS",55 TUAS VIEW LOOP   Singapore 637704 ,Live Company,2008-09-09,2003-04-03,Local Company,2022-08-25
201118138R,MHI DISTRIBUTION PRIVATE LIMITED,46306,na,WHOLESALE OF HEALTH SUPPLEMENTS,na,50 MACPHERSON ROAD AMAZANA #07-01 Singapore 348471 ,Live Company,2011-07-30,2011-07-29,Local Company,2022-08-25
201733335H,MIAH PTE. LTD.,56111,na,RESTAURANTS,na,214 EAST COAST ROAD   Singapore 428913 ,Live Company,2017-11-20,2017-11-20,Local Company,2022-08-25
53174185X,MIDEA RESIDENTIAL & COMMERCIAL AIR-CONDITIONING EQUIPMENT,28191,35300,"MANUFACTURE AND REPAIR OF REFRIGERATING, AIR-CONDITIONING AND VENTILATING MACHINERY AND EQUIPMENT EXCEPT HOUSEHOLD REFRIGERATORS",STEAM AND AIR-CONDITIONING SUPPLY,625 ALJUNIED ROAD ALJUNIED INDUSTRIAL COMPLEX #06-07 Singapore 389836 ,Live,2010-08-23,2010-08-22,Business,2022-08-25
201407959E,MINDCHAMPS PRESCHOOL @ BUKIT MERAH PTE. LIMITED,88911,na,CHILD CARE SERVICES FOR PRE-SCHOOL CHILDREN (INCLUDING INFANT CARE SERVICES),na,2 JALAN KILANG BARAT PANASONIC BUILDING #01-01 Singapore 159346 ,Live Company,2014-03-21,2014-03-20,Local Company,2022-08-25
201407959E,NEW STAR CHILDREN PTE. LTD.,88911,na,CHILD CARE SERVICES FOR PRE-SCHOOL CHILDREN (INCLUDING INFANT CARE SERVICES),na,30 LORONG M TELOK KURAU EBONY MANSIONS #03-03 Singapore 425312 ,Live Company,2014-03-21,2014-03-20,Local Company,2022-08-25
202009494M,MIRA SKINCARE PTE. LTD.,20233,47721,MANUFACTURE OF COSMETICS AND TOILETRIES,RETAIL SALE OF COSMETICS AND TOILETRIES (INCLUDING SKIN CARE PRODUCTS),69 UBI ROAD 1 OXLEY BIZHUB #05-19 Singapore 408731 ,Live Company,2020-03-23,2020-03-23,Local Company,2022-08-25
201205787M,MITHRAN TRADING PTE. LTD.,46900,47510,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,RETAIL SALE OF TEXTILES,668 CHANDER ROAD  #01-02 Singapore 210668 ,Live Company,2012-03-09,2012-03-08,Local Company,2022-08-25
200103849R,MITOMI ENTERPRISES PTE LTD,96099,82999,OTHER PERSONAL SERVICE ACTIVITIES N.E.C. (EXCLUDING ONLINE MARKETPLACES),OTHER BUSINESS SUPPORT SERVICE ACTIVITIES (E.G. ADMINISTRATION OF LOYALTY PROGRAMMES),150 SOUTH BRIDGE ROAD FOOK HAI BUILDING #B1-10 Singapore 058727 ,Live Company,2008-09-12,2001-06-11,Local Company,2022-08-25
53398914X,MMI WATCHES,47733,na,RETAIL SALE OF WATCHES AND CLOCKS,na,414 BEDOK NORTH AVENUE 2  #25-111 Singapore 460414 ,Live,2019-06-09,2019-06-09,Business,2022-08-25
53400214E,MODA ATELIER,74193,na,FASHION (INCLUDING ACCESSORIES) DESIGN SERVICES,na,113 TAMPINES STREET 11  #04-139 Singapore 521113 ,Cancelled (Non-Renewal),2019-07-08,2019-07-08,Business,2022-08-25
201801917H,MOGU TECHNOLOGIES PTE. LTD.,70201,46900,MANAGEMENT CONSULTANCY SERVICES (GENERAL),WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,65 CHULIA STREET OCBC CENTRE #38-06 Singapore 049513 ,Live Company,2018-01-16,2018-01-16,Local Company,2022-08-25
201608444H,MONSTER CURRY @TP1 PTE. LTD.,56111,56121,RESTAURANTS,FAST FOOD OUTLETS,160 ROBINSON ROAD SPORE BUSINESS FEDERATION CTR #21-06 Singapore 068914 ,Struck Off,2016-04-01,2016-04-01,Local Company,2022-08-25
201713408C,MUDRA ENTERPRISES PTE. LTD.,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,89 SHORT STREET GOLDEN WALL CENTRE #09-01 Singapore 188216 ,Struck Off,2017-05-15,2017-05-15,Local Company,2022-08-25
201406579R,MYAERO NETWORK PTE. LTD.,46552,51005,WHOLESALE OF AIRCRAFT EQUIPMENT AND SUPPLIES (INCLUDING AERONAUTICAL EQUIPMENT),AIRCRAFT CHARTERING WITH OPERATOR,10 ANSON ROAD INTERNATIONAL PLAZA #21-07 Singapore 079903 ,Live Company,2014-03-08,2014-03-07,Local Company,2022-08-25
201927370Z,N PLUS TRADING PTE. LTD.,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,77 HIGH STREET HIGH STREET PLAZA #09-11 Singapore 179433 ,Live Company,2019-08-21,2019-08-21,Local Company,2022-08-25
202036562M,NAMLY LAND PTE. LTD.,68101,na,REAL ESTATE DEVELOPERS,na,461 MACPHERSON ROAD   Singapore 368179 ,Live Company,2020-11-12,2020-11-12,Local Company,2022-08-25
201309783W,NARIMASU TRANSPORTATION PTE. LTD.,73200,na,MARKET RESEARCH AND PUBLIC OPINION POLLING,na,3 SHENTON WAY SHENTON HOUSE #21-09 Singapore 068805 ,Struck Off,2013-04-13,2013-04-12,Local Company,2022-08-25
200806068H,NARULLA ONE (S) PTE. LTD.,46900,64202,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,OTHER HOLDING COMPANIES,77 HIGH STREET HIGH STREET PLAZA #03-11/12 Singapore 179433 ,Live Company,2008-09-13,2008-03-28,Local Company,2022-08-25
36133200M,NOBLE HOUSE OF AWARDS,47742,na,"RETAIL SALE OF HANDICRAFTS, COLLECTIBLES AND GIFTS",na,89 PHOENIX AVENUE PHOENIX HEIGHTS  Singapore 668387 ,Live,2008-09-10,1986-06-25,Business,2022-08-25
T09LL0794G,NTN BUILDING SURVEYORS LLP,71113,na,QUANTITY SURVEYING SERVICES,na,14 ROBINSON ROAD FAR EAST FINANCE BUILDING #08-01A Singapore 048545 ,Live,2009-05-25,2009-05-25,LLP,2022-08-25
201821223M,NV&T HOLDING PTE. LTD.,46900,47109,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,RETAIL SALE IN OTHER NON-SPECIALISED STORES N.E.C.,17 NAMLY DRIVE SHAMROCK PARK  Singapore 267431 ,Live Company,2018-06-22,2018-06-22,Local Company,2022-08-25
53260753L,NZ LITE,47533,74191,RETAIL SALE OF LIGHTING AND LIGHTING ACCESSORIES,INTERIOR DESIGN SERVICES,102 GERALD DRIVE SELETAR SPRINGS CONDOMINIUM #03-70 Singapore 798593 ,Live,2014-05-03,2014-05-02,Business,2022-08-25
201617776N,OCEAN PRO INVESTERS PTE. LTD.,70209,na,MANAGEMENT CONSULTANCY SERVICES N.E.C.,na,141 MIDDLE ROAD GSM BUILDING #05-06 Singapore 188976 ,Live Company,2016-06-29,2016-06-29,Local Company,2022-08-25
201833447C,OGP FREIGHT PTE. LTD.,52291,na,VALUE ADDED LOGISTICS PROVIDERS,na,28 TUAS AVENUE 13  #01-01 Singapore 638994 ,Live Company,2018-10-01,2018-10-01,Local Company,2022-08-25
200902551K,OISHI SOLUTIONS AND SERVICES PTE. LTD.,46900,52291,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,VALUE ADDED LOGISTICS PROVIDERS,8A ADMIRALTY STREET FOOD XCHANGE @ ADMIRALTY #05-34 Singapore 757437 ,Struck Off,2009-02-13,2009-02-12,Local Company,2022-08-25
201433077G,OK FRUITS PTE. LTD.,46301,46900,WHOLESALE OF FRUITS AND VEGETABLES (INCLUDING FRESH AND FROZEN),WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,280 SIMS AVENUE   Singapore 387515 ,Live Company,2014-11-07,2014-11-05,Local Company,2022-08-25
200711839K,ONE SECURITY PTE. LTD.,80002,47537,SECURITY SERVICES,RETAIL SALE OF SECURITY AND FIRE-FIGHTING EQUIPMENT,50 GAMBAS CRESCENT PROXIMA@GAMBAS #09-14 Singapore 757022 ,Live Company,2008-09-13,2007-07-02,Local Company,2022-08-25
53356412C,ONNEX LIGHTING,47533,47910,RETAIL SALE OF LIGHTING AND LIGHTING ACCESSORIES,RETAIL SALE VIA INTERNET (WITH INCOME MAINLY FROM ONLINE SALES),131 SERANGOON AVENUE 3 CHILTERN PARK CONDOMINIUM #04-03 Singapore 556112 ,Cancelled (Non-Renewal),2017-02-15,2017-02-15,Business,2022-08-25
